date,item_name,quantity,revenue,cost
2026-06-01,Cappuccino,7,1050,315
2026-06-01,Cafe Latte,8,1280,384
2026-06-01,Espresso,6,720,180
2026-06-01,Cold Coffee,10,1800,550
2026-06-01,Masala Chai,14,1120,280
2026-06-01,Veg Sandwich,8,1120,400
2026-06-01,Grilled Cheese Sandwich,4,680,260
2026-06-01,French Fries,7,840,280
2026-06-01,Margherita Pizza,3,840,330
2026-06-01,Pasta Alfredo,3,960,390
2026-06-01,Chocolate Brownie,5,750,275
2026-06-01,Cheesecake,3,660,270
2026-06-02,Cappuccino,10,1500,450
2026-06-02,Cafe Latte,8,1280,384
2026-06-02,Espresso,5,600,150
2026-06-02,Cold Coffee,8,1440,440
2026-06-02,Masala Chai,13,1040,260
2026-06-02,Veg Sandwich,4,560,200
2026-06-02,Grilled Cheese Sandwich,5,850,325
2026-06-02,French Fries,7,840,280
2026-06-02,Margherita Pizza,3,840,330
2026-06-02,Pasta Alfredo,2,640,260
2026-06-02,Chocolate Brownie,6,900,330
2026-06-02,Cheesecake,3,660,270
2026-06-03,Cappuccino,7,1050,315
2026-06-03,Cafe Latte,10,1600,480
2026-06-03,Espresso,7,840,210
2026-06-03,Cold Coffee,8,1440,440
2026-06-03,Masala Chai,12,960,240
2026-06-03,Veg Sandwich,5,700,250
2026-06-03,Grilled Cheese Sandwich,6,1020,390
2026-06-03,French Fries,6,720,240
2026-06-03,Margherita Pizza,4,1120,440
2026-06-03,Pasta Alfredo,3,960,390
2026-06-03,Chocolate Brownie,5,750,275
2026-06-03,Cheesecake,4,880,360
2026-06-04,Cappuccino,12,1800,540
2026-06-04,Cafe Latte,7,1120,336
2026-06-04,Espresso,6,720,180
2026-06-04,Cold Coffee,7,1260,385
2026-06-04,Masala Chai,9,720,180
2026-06-04,Veg Sandwich,5,700,250
2026-06-04,Grilled Cheese Sandwich,4,680,260
2026-06-04,French Fries,6,720,240
2026-06-04,Margherita Pizza,4,1120,440
2026-06-04,Pasta Alfredo,3,960,390
2026-06-04,Chocolate Brownie,5,750,275
2026-06-04,Cheesecake,3,660,270
2026-06-05,Cappuccino,12,1800,540
2026-06-05,Cafe Latte,9,1440,432
2026-06-05,Espresso,7,840,210
2026-06-05,Cold Coffee,6,1080,330
2026-06-05,Masala Chai,13,1040,260
2026-06-05,Veg Sandwich,5,700,250
2026-06-05,Grilled Cheese Sandwich,4,680,260
2026-06-05,French Fries,9,1080,360
2026-06-05,Margherita Pizza,4,1120,440
2026-06-05,Pasta Alfredo,3,960,390
2026-06-05,Chocolate Brownie,5,750,275
2026-06-05,Cheesecake,5,1100,450
2026-06-06,Cappuccino,12,1800,540
2026-06-06,Cafe Latte,10,1600,480
2026-06-06,Espresso,9,1080,270
2026-06-06,Cold Coffee,10,1800,550
2026-06-06,Masala Chai,15,1200,300
2026-06-06,Veg Sandwich,11,1540,550
2026-06-06,Grilled Cheese Sandwich,9,1530,585
2026-06-06,French Fries,9,1080,360
2026-06-06,Margherita Pizza,6,1680,660
2026-06-06,Pasta Alfredo,4,1280,520
2026-06-06,Chocolate Brownie,9,1350,495
2026-06-06,Cheesecake,6,1320,540
2026-06-07,Cappuccino,11,1650,495
2026-06-07,Cafe Latte,12,1920,576
2026-06-07,Espresso,8,960,240
2026-06-07,Cold Coffee,11,1980,605
2026-06-07,Masala Chai,19,1520,380
2026-06-07,Veg Sandwich,7,980,350
2026-06-07,Grilled Cheese Sandwich,5,850,325
2026-06-07,French Fries,12,1440,480
2026-06-07,Margherita Pizza,5,1400,550
2026-06-07,Pasta Alfredo,3,960,390
2026-06-07,Chocolate Brownie,5,750,275
2026-06-07,Cheesecake,4,880,360
2026-06-08,Cappuccino,12,1800,540
2026-06-08,Cafe Latte,9,1440,432
2026-06-08,Espresso,5,600,150
2026-06-08,Cold Coffee,8,1440,440
2026-06-08,Masala Chai,17,1360,340
2026-06-08,Veg Sandwich,6,840,300
2026-06-08,Grilled Cheese Sandwich,7,1190,455
2026-06-08,French Fries,9,1080,360
2026-06-08,Margherita Pizza,3,840,330
2026-06-08,Pasta Alfredo,4,1280,520
2026-06-08,Chocolate Brownie,6,900,330
2026-06-08,Cheesecake,4,880,360
2026-06-09,Cappuccino,10,1500,450
2026-06-09,Cafe Latte,7,1120,336
2026-06-09,Espresso,6,720,180
2026-06-09,Cold Coffee,7,1260,385
2026-06-09,Masala Chai,15,1200,300
2026-06-09,Veg Sandwich,7,980,350
2026-06-09,Grilled Cheese Sandwich,4,680,260
2026-06-09,French Fries,7,840,280
2026-06-09,Margherita Pizza,3,840,330
2026-06-09,Pasta Alfredo,4,1280,520
2026-06-09,Chocolate Brownie,6,900,330
2026-06-09,Cheesecake,3,660,270
2026-06-10,Cappuccino,11,1650,495
2026-06-10,Cafe Latte,8,1280,384
2026-06-10,Espresso,9,1080,270
2026-06-10,Cold Coffee,9,1620,495
2026-06-10,Masala Chai,15,1200,300
2026-06-10,Veg Sandwich,7,980,350
2026-06-10,Grilled Cheese Sandwich,4,680,260
2026-06-10,French Fries,7,840,280
2026-06-10,Margherita Pizza,3,840,330
2026-06-10,Pasta Alfredo,4,1280,520
2026-06-10,Chocolate Brownie,7,1050,385
2026-06-10,Cheesecake,5,1100,450
2026-06-11,Cappuccino,7,1050,315
2026-06-11,Cafe Latte,11,1760,528
2026-06-11,Espresso,9,1080,270
2026-06-11,Cold Coffee,6,1080,330
2026-06-11,Masala Chai,12,960,240
2026-06-11,Veg Sandwich,4,560,200
2026-06-11,Grilled Cheese Sandwich,6,1020,390
2026-06-11,French Fries,8,960,320
2026-06-11,Margherita Pizza,3,840,330
2026-06-11,Pasta Alfredo,3,960,390
2026-06-11,Chocolate Brownie,5,750,275
2026-06-11,Cheesecake,3,660,270
2026-06-12,Cappuccino,11,1650,495
2026-06-12,Cafe Latte,9,1440,432
2026-06-12,Espresso,8,960,240
2026-06-12,Cold Coffee,10,1800,550
2026-06-12,Masala Chai,11,880,220
2026-06-12,Veg Sandwich,6,840,300
2026-06-12,Grilled Cheese Sandwich,7,1190,455
